2022-04-06 12:42:17.112 [main] INFO  calculator.calculator - [FACTORIAL] - 6.0
2022-04-06 12:42:17.117 [main] INFO  calculator.calculator - [RESULT - FACTORIAL] = 720.0
2022-04-06 12:42:17.118 [main] INFO  calculator.calculator - [FACTORIAL] - 3.0
2022-04-06 12:42:17.118 [main] INFO  calculator.calculator - [RESULT - FACTORIAL] = 6.0
2022-04-06 12:42:17.120 [main] INFO  calculator.calculator - [SQRT] - 3.0
2022-04-06 12:42:17.120 [main] INFO  calculator.calculator - [RESULT - SQRT] = 1.7320508075688772
2022-04-06 12:42:17.120 [main] INFO  calculator.calculator - [SQRT] - 4.0
2022-04-06 12:42:17.120 [main] INFO  calculator.calculator - [RESULT - SQRT] = 2.0
2022-04-06 12:42:17.121 [main] INFO  calculator.calculator - [LOG] - 1.0
2022-04-06 12:42:17.121 [main] INFO  calculator.calculator - [RESULT - LOG] = 0.0
2022-04-06 12:42:17.121 [main] INFO  calculator.calculator - [LOG] - 1.0
2022-04-06 12:42:17.121 [main] INFO  calculator.calculator - [RESULT - LOG] = 0.0
2022-04-06 12:42:17.122 [main] INFO  calculator.calculator - [FACTORIAL] - 5.0
2022-04-06 12:42:17.122 [main] INFO  calculator.calculator - [RESULT - FACTORIAL] = 120.0
2022-04-06 12:42:17.123 [main] INFO  calculator.calculator - [FACTORIAL] - 4.0
2022-04-06 12:42:17.124 [main] INFO  calculator.calculator - [RESULT - FACTORIAL] = 24.0
2022-04-06 12:42:17.126 [main] INFO  calculator.calculator - [POWER] - 2.0, 2.0
2022-04-06 12:42:17.126 [main] INFO  calculator.calculator - [RESULT - POWER] = 4.0
2022-04-06 12:42:17.126 [main] INFO  calculator.calculator - [POWER] - 2.0, 3.0
2022-04-06 12:42:17.126 [main] INFO  calculator.calculator - [RESULT - POWER] = 8.0
2022-04-06 12:42:17.127 [main] INFO  calculator.calculator - [POWER] - 2.0, 3.0
2022-04-06 12:42:17.127 [main] INFO  calculator.calculator - [RESULT - POWER] = 8.0
2022-04-06 12:42:17.127 [main] INFO  calculator.calculator - [POWER] - 4.0, 3.0
2022-04-06 12:42:17.127 [main] INFO  calculator.calculator - [RESULT - POWER] = 64.0
2022-04-06 12:42:17.128 [main] INFO  calculator.calculator - [LOG] - 2.4
2022-04-06 12:42:17.128 [main] INFO  calculator.calculator - [RESULT - LOG] = 0.8754687373538999
2022-04-06 12:42:17.128 [main] INFO  calculator.calculator - [LOG] - 2.1
2022-04-06 12:42:17.129 [main] INFO  calculator.calculator - [RESULT - LOG] = 0.7419373447293773
2022-04-06 12:42:17.129 [main] INFO  calculator.calculator - [SQRT] - 4.0
2022-04-06 12:42:17.129 [main] INFO  calculator.calculator - [RESULT - SQRT] = 2.0
2022-04-06 12:42:17.129 [main] INFO  calculator.calculator - [SQRT] - 1.0
2022-04-06 12:42:17.130 [main] INFO  calculator.calculator - [RESULT - SQRT] = 1.0
